Election,Start,End,Poll,Seats,M,K,ID
Wybory Delegacji Województwa Dolnośląskiego do Rady Krajowej - sierpień 2020,2020-08-21,2020-08-24,Rada Krajowa,1,Sławomir Gadek;Michał Gocałek,Anna Gajdzińska;Marta Stożek,27
Wybory Delegacji Województwa Kujawsko-Pomorskiego do Rady Krajowej - sierpień 2020,2020-08-21,2020-08-24,Rada Krajowa,1,Artur Eichhorst;Damian Rzadkiewicz,Jolanta Maćkiewicz,29
Wybory Delegacji Województwa Małopolskiego do Rady Krajowej - sierpień 2020,2020-08-21,2020-08-24,Rada Krajowa,1,Kamil Jaroszewski,Monika Sobotkiewicz,33
Wybory Delegacji Województwa Mazowieckiego do Rady Krajowej - sierpień 2020,2020-08-21,2020-08-24,Rada Krajowa,1,Krystian Głuch;Zbigniew Augustyński;Mateusz Iskrzyński;Konrad Mostek;Paweł Golubiński;Paweł Goliński,Natalia Kwiatkowska;Joanna Gierzyńska;Anna Pajęcka,34
Wybory Delegacji Województwa Podkarpackiego do Rady Krajowej - sierpień 2020,2020-08-21,2020-08-24,Rada Krajowa,1,Sylwester Zderski;Krzysztof Jasiński,,36
Wybory Delegacji Województwa Pomorskiego do Rady Krajowej - sierpień 2020,2020-08-21,2020-08-24,Rada Krajowa,1,Maciej Giżyński;Bartosz Markowski,Magdalena Drywa,38
Wybory Delegacji Województwa Śląskiego do Rady Krajowej - sierpień 2020,2020-08-21,2020-08-24,Rada Krajowa,1,Bartłomiej Wieczorek;Leopold Hess;Andrzej Skałacki,,39
Wybory Delegacji Województwa Warmińsko-mazurskiego do Rady Krajowej - sierpień 2020,2020-08-21,2020-08-24,Rada Krajowa,1,Marcin Gulczyński,Małgorzata Matuszewska-Boruc,41
Wybory Delegacji Województwa Wielkopolskiego do Rady Krajowej - sierpień 2020,2020-08-21,2020-08-24,Rada Krajowa,1,Stanisław Krzymkowski;Michał Kucharski,Paulina Nowak;Beata Błażejczak-Kleczewska,42
Wybory Delegacji Województwa Zachodniopomorskiego do Rady Krajowej - sierpień 2020,2020-08-21,2020-08-24,Rada Krajowa,1,Michał Sokolski;Tomasz Jackowski,,43
Wybory Delegacji Zagranicy do Rady Krajowej - sierpień 2020,2020-08-21,2020-08-24,Rada Krajowa,1,Jakub Sypiański,Zofia Malisz,44
Wybory Powszechne 2020,2020-08-21,2020-08-24,Rada Krajowa,17,Sławomir Gadek;Krystian Głuch;Chrystian Szpilski;Andrzej Drost;Marcin Gulczyński;Piotr Dawidziuk;Artur Eichhorst;Bartosz Grucela;Bartłomiej Burek;Krystian Kosowski;Zbigniew Augustyński;Tomasz Jackowski;Bartłomiej Wieczorek;Mateusz Iskrzyński;Bartosz Migas;Marcin Szost;Michał Kucharski;Stanisław Krzymkowski;Michał Buława;Maciej Szlinder;Łukasz Kowalczuk;Michał Osypowicz;Leopold Hess;Konrad Mostek;Damian Rzadkiewicz;Paweł Golubiński;Igor Mencel;Paweł Goliński;Jakub Sypiański,Natalia Kwiatkowska;Joanna Gierzyńska;Anna Gajdzińska;Jolanta Maćkiewicz;Karolina Dereń;Wiktoria Aleksandra Barańska;Magdalena Drywa;Joanna Kotkowska-Pyzel;Małgorzata Kazulak;Ewelina Bator;Agnieszka Lamek-Kochanowska;Joanna Wicha;Małgorzata Matuszewska-Boruc;Kaja Filaczyńska;Beata Błażejczak-Kleczewska;Julia Zimmermann;Beata Zybura;Jolanta Grzesiak;Elżbieta Czechowicz;Zofia Malisz;Barbara Słania;Justyna Szpanowska;Paulina Nowak;Dorota Olko,45
Wybory Powszechne 2020,2020-08-21,2020-08-24,Krajowa Komisja Rewizyjna,7,Chrystian Szpilski;Iwo Augustyński;Wojciech Buras;Grzegorz Bobrowicz;Leszek Karlik;Zbigniew Augustyński;Bartosz Migas;Robert Wojciechowski;Damian Rzadkiewicz;Paweł Golubiński;Paweł Goliński;Mirosław Doliński;Jakub Sypiański;Dariusz Lamek - Kochanowski,Natalia Kwiatkowska;Aleksandra Smolaga;Helena Strokowska;Jolanta Grzesiak;Elżbieta Czechowicz;Emilia Golnik,45
Wybory Powszechne 2020,2020-08-21,2020-08-24,Partyjny Sąd Koleżeński,17,Piotr Ciszek;Jacek Choroszewicz;Bartłomiej Burek;Adrian Prokopczyk;Tomasz Jackowski;Bartłomiej Wieczorek;Marek Posiadała-Wolicki;Bartosz Rogowski;Andrzej W. Nowak;Borys Szpetnar;Adrian Chammas;Karol Wiśniewski;Paweł Golubiński;Paweł Goliński;Bartłomiej Dobosiewicz;Mirosław Doliński;Jakub Sypiański;Michał Gocałek,Ola Kulma;Katarzyna Mazurczak;Monika Strempel;Julia Lauer;Beata Zybura;Joanna Kotkowska-Pyzel;Agata Troost;Elżbieta Czechowicz;Agata Lubraniecka;Iwona Zalewska;Alicja Okrasińska,45
Wybory Powszechne 2020,2020-08-21,2020-08-24,Zarząd Krajowy,5,Sławomir Gadek;Chrystian Szpilski;Andrzej Drost;Piotr Dawidziuk;Bartosz Grucela;Krystian Kosowski;Michał Kucharski;Robert Wojciechowski;Maciej Szlinder;Kamil Maczuga,Małgorzata Kazulak;Ewelina Bator;Urszula Kuzińska;Joanna Wicha;Paulina Matysiak;Agnieszka Itner;Anka Górska;Justyna Szpanowska;Anna Bąk,45
